StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Phone ownership,Phone ownership_4_TEXT,phone cost_1,State of phone,State of phone_5_TEXT,Brand of phone,Brand of phone_4_TEXT,Attachments_1,Attachments_2,Attachments_3,Attachments_4,control - q_1,control - why,control - why_4_TEXT,env - q_1,env - why?,env - why?_4_TEXT,gov - q_1,gov - why,gov - why_4_TEXT,Gender,Gender_4_TEXT,Age,Ethnicity,Education,Education_8_TEXT,Employment status,Income,Family size
2022-02-18 06:04:07,2022-02-18 06:06:52,IP Address,78.86.63.242,100,165,True,2022-02-18 06:06:53,R_3kdmlZFBJjcZ3O0,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought outright,,607,Brand New,,Apple (iPhone),,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,,,,85,,,,,,Female,,18 - 24,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",None
2022-02-18 06:04:53,2022-02-18 06:07:00,IP Address,87.81.72.58,100,126,True,2022-02-18 06:07:03,R_3ef3SkRGeYJVWzf,,,,,51.3502960205078125,-0.2014007568359375,anonymous,EN,Yes,Bought outright,,514,Brand New,,Apple (iPhone),,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,,,,,,,0,It should be the producer's responsibility to pay,,Female,,18 - 24,Asian / Asian British: Indian,Master's degree,,In full-time education,Not sure,None
2022-02-18 06:05:11,2022-02-18 06:07:42,IP Address,5.81.197.187,100,150,True,2022-02-18 06:07:42,R_2wTYnzuxQCtcaRO,,,,,51.762603759765625,0.4709930419921875,anonymous,EN,Yes,Bought on contract - fully paid,,837,Brand New,,Samsung (Galaxy),,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,110,,,,,,,,,Male,,18 - 24,White: British / English / Northern Irish / Scottish / Welsh,"Further education (16+, A-Levels, BTEC, etc.)",,In full-time education,Not sure,None
2022-02-18 06:08:07,2022-02-18 06:08:19,IP Address,5.151.106.4,100,12,True,2022-02-18 06:08:19,R_1PT4g5F6ABRqhP3,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 06:03:28,2022-02-18 06:12:21,IP Address,5.151.106.2,100,532,True,2022-02-18 06:12:21,R_ujOgc2f5XbVJS6t,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought outright,,506,Brand New,,Apple (iPhone),,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,,,,,,55,,,Female,,18 - 24,Asian / Asian British: Chinese,Master's degree,,In full-time education,Not sure,None
2022-02-18 06:10:49,2022-02-18 06:12:22,IP Address,31.53.49.62,100,93,True,2022-02-18 06:12:23,R_C2G6SP829RQHQtj,,,,,51.6114959716796875,-0.249603271484375,anonymous,EN,Yes,Bought outright,,300,Brand New,,Google (Pixel),,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,,,,61,,,,,,Male,,18 - 24,Asian / Asian British: Indian,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",None
2022-02-18 06:13:04,2022-02-18 06:13:18,IP Address,92.40.191.196,100,13,True,2022-02-18 06:13:18,R_1dt9plLq4EXMXF4,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 06:11:38,2022-02-18 06:13:52,IP Address,2.127.195.153,100,134,True,2022-02-18 06:13:52,R_R9u5fCLZ7zhxIVb,,,,,51.482696533203125,-0.1614990234375,anonymous,EN,Yes,Bought outright,,999,Brand New,,Samsung (Galaxy),,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,101,,,,,,,,,Female,,25 - 34,Arab,Undergraduate degree,,In full-time education,"£30,000 to £39,999",None
2022-02-18 06:03:01,2022-02-18 06:14:26,IP Address,31.205.213.149,100,685,True,2022-02-18 06:14:27,R_CfsqlxugyLwZx97,,,,,51.4889984130859375,-0.214996337890625,anonymous,EN,Yes,Bought outright,,802,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,,,,116,,,Male,,18 - 24,Asian / Asian British: Chinese,Master's degree,,Not in employment,"Less than £10,000",1
2022-02-18 06:15:54,2022-02-18 06:18:02,IP Address,152.37.72.57,100,127,True,2022-02-18 06:18:02,R_31t5rmrh4JbVcg4,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought outright,,426,Brand New,,Samsung (Galaxy),,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,,,,,,,100,,,Male,,18 - 24,Asian / Asian British: Indian,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",None
2022-02-18 06:24:19,2022-02-18 06:26:47,IP Address,37.172.251.93,100,148,True,2022-02-18 06:26:48,R_3kBMUhwGjxG6kvb,,,,,48.8582000732421875,2.3386993408203125,anonymous,EN,Yes,Bought outright,,196,Secondhand - Private Seller (eg. ebay),,Apple (iPhone),,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree,,,,403,,,,,,Female,,18 - 24,White: Any other White background,Master's degree,,Not in employment,"Less than £10,000",None
2022-02-18 06:23:58,2022-02-18 06:27:05,IP Address,82.34.64.250,100,187,True,2022-02-18 06:27:06,R_3PFz9DDrDORD6xO,,,,,51.6016998291015625,-0.0731964111328125,anonymous,EN,Yes,Bought outright,,1100,Brand New,,Apple (iPhone),,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,90,,,,,,,,,Male,,25 - 34,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time employment,"£20,000 to £29,999",None
2022-02-18 06:24:06,2022-02-18 06:28:06,IP Address,86.18.91.24,100,239,True,2022-02-18 06:28:06,R_3qkvUR6nQ9B8dRo,,,,,53.3527984619140625,-1.4844970703125,anonymous,EN,Yes,Bought outright,,352,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,50,,,,,,,,,Male,,25 - 34,White: Any other White background,Master's degree,,In full-time education,"£40,000 to £49,999",None
2022-02-18 06:27:37,2022-02-18 06:31:38,IP Address,152.37.72.57,100,240,True,2022-02-18 06:31:38,R_1OrcIjyBeedYkyo,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought outright,,399,Brand New,,"Other, please specify",OnePlus,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,,,,100,,,,,,Male,,18 - 24,Asian / Asian British: Indian,Undergraduate degree,,In full-time education,"Less than £10,000",None
2022-02-18 06:37:42,2022-02-18 06:40:55,IP Address,81.101.225.190,100,192,True,2022-02-18 06:40:55,R_8IglTnz4VSaV6kF,,,,,51.6013031005859375,-0.2635955810546875,anonymous,EN,Yes,Bought outright,,544,"Secondhand - Third-party Retailer Refurbished (eg. CEX, BackMarket, GiffGaff)",,Apple (iPhone),,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,,,,100,,,,,,Male,,18 - 24,Asian / Asian British: Indian,Undergraduate degree,,In full-time employment,"£40,000 to £49,999",None
2022-02-18 06:42:39,2022-02-18 06:42:50,IP Address,92.40.191.196,100,10,True,2022-02-18 06:42:51,R_ZruWDH3GFf3Wga5,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 06:34:04,2022-02-18 06:43:17,IP Address,188.214.10.138,100,553,True,2022-02-18 06:43:18,R_3nIaNNNTK21PrY3,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN,Yes,Bought on contract - fully paid,,1049,Brand New,,Apple (iPhone),,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,51,,,,,,,,,Female,,18 - 24,Asian / Asian British: Chinese,Master's degree,,Not in employment,"£10,000 to £19,999",2
2022-02-18 06:42:30,2022-02-18 06:45:05,IP Address,109.175.189.36,100,154,True,2022-02-18 06:45:05,R_1ITnzuOr1KS9v6T,,,,,51.50140380859375,-0.20159912109375,anonymous,EN,Yes,Bought outright,,405,Brand New,,"Other, please specify",Huawei,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,82,,,Female,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,In full-time education,"Less than £10,000",None
2022-02-18 06:43:12,2022-02-18 06:45:47,IP Address,151.229.153.233,100,154,True,2022-02-18 06:45:47,R_1meYlyuGdNc2nKp,,,,,51.4770050048828125,-0.1959075927734375,anonymous,EN,Yes,Bought outright,,597,Brand New,,Apple (iPhone),,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,256,,,,,,,,,Female,,18 - 24,Asian / Asian British: Bangladeshi,Master's degree,,In full-time education,"Less than £10,000",None
2022-02-18 06:46:19,2022-02-18 06:46:31,IP Address,137.220.85.28,100,11,True,2022-02-18 06:46:31,R_3CIOOUzT5B1MH3g,,,,,51.5359954833984375,-0.092498779296875,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 06:47:13,2022-02-18 06:50:16,IP Address,82.132.228.8,100,183,True,2022-02-18 06:50:17,R_33sySWgxKHCzQGh,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought outright,,935,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,,,,,,,98,,,Female,,18 - 24,Arab,Undergraduate degree,,Not in employment,"Less than £10,000",None
2022-02-18 06:47:01,2022-02-18 06:50:20,IP Address,80.209.150.147,100,199,True,2022-02-18 06:50:20,R_10IA7gb0p9uSG8K,,,,,51.4770050048828125,-0.1959075927734375,anonymous,EN,Yes,Bought on contract - fully paid,,967,Brand New,,Apple (iPhone),,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,198,,,,,,Female,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,Not in employment,"Less than £10,000",2
2022-02-18 06:49:25,2022-02-18 06:54:39,IP Address,148.252.129.93,100,314,True,2022-02-18 06:54:39,R_3lyq0llGSCp9Fsm,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought outright,,908,Brand New,,"Other, please specify",Huawei,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Agree,,,,,,,100,,,Female,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,In full-time education,"Less than £10,000",None
2022-02-18 06:55:57,2022-02-18 06:58:51,IP Address,85.255.236.113,100,173,True,2022-02-18 06:58:51,R_1Ic4D3JaUwr1lbK,,,,,51.49639892578125,-0.122406005859375,anonymous,EN,Yes,Bought outright,,573,Brand New,,Apple (iPhone),,Strongly Agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,,,,,,,201,,,Female,,25 - 34,Asian / Asian British: Indian,Undergraduate degree,,In full-time education,Not sure,2
2022-02-18 06:56:04,2022-02-18 06:58:52,IP Address,146.169.185.30,100,168,True,2022-02-18 06:58:53,R_1H1SuyC0Cg2GRai,,,,,51.4889984130859375,-0.214996337890625,anonymous,EN,Yes,Bought outright,,710,Brand New,,Apple (iPhone),,Neither Agree nor Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,,,,46,,,,,,Male,,45 - 54,White: British / English / Northern Irish / Scottish / Welsh,Master's degree,,In full-time education,Not sure,None
2022-02-18 06:57:30,2022-02-18 07:00:09,IP Address,146.169.184.243,100,159,True,2022-02-18 07:00:09,R_2y3BrZK5B3NiRdQ,,,,,51.4770050048828125,-0.1959075927734375,anonymous,EN,Yes,"Other, please specify",Second hand from parents,109,"Other, please specify",from Family,Apple (iPhone),,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,111,,,,,,,,,Male,,25 - 34,Mixed / Multiple ethnic groups: Asian and White,Undergraduate degree,,In full-time education,"Less than £10,000",None
2022-02-18 06:57:20,2022-02-18 07:00:18,IP Address,31.205.214.93,100,178,True,2022-02-18 07:00:19,R_1eIDZI5L6bnoYjz,,,,,51.4889984130859375,-0.214996337890625,anonymous,EN,Yes,Bought outright,,602,Brand New,,Apple (iPhone),,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,,,,60,,,,,,Female,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,Not in employment,Not sure,4
2022-02-18 06:50:04,2022-02-18 07:00:37,IP Address,80.209.150.147,100,633,True,2022-02-18 07:00:37,R_2dsiXidP80vEuJc,,,,,51.4770050048828125,-0.1959075927734375,anonymous,EN,Yes,Bought on contract - fully paid,,808,Brand New,,Apple (iPhone),,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,159,,,,,,,,,Female,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,In full-time education,"Less than £10,000",2
2022-02-18 07:01:29,2022-02-18 07:03:49,IP Address,82.27.128.183,100,140,True,2022-02-18 07:03:49,R_3j6ERTKcDZzEuXr,,,,,55.8802947998046875,-4.3054962158203125,anonymous,EN,Yes,Bought outright,,800,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,,,,93,,,,,,Female,,25 - 34,White: British / English / Northern Irish / Scottish / Welsh,Secondary school (up to 16 years),,In full-time employment,"£40,000 to £49,999",1
2022-02-18 07:01:25,2022-02-18 07:05:23,IP Address,5.151.106.2,100,238,True,2022-02-18 07:05:23,R_1GWi6p9sFA5hs6d,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought outright,,792,Brand New,,Apple (iPhone),,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,100,,,,,,,,,Female,,18 - 24,Asian / Asian British: Chinese,Undergraduate degree,,Not in employment,"Less than £10,000",None
2022-02-17 05:07:34,2022-02-18 07:06:03,IP Address,78.149.72.37,100,93508,True,2022-02-18 07:06:03,R_1nPDaosF6leqJRb,,,,,51.44830322265625,-0.1383056640625,anonymous,EN,Yes,Bought outright,,,Brand New,,Apple (iPhone),,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,,,,245,,,Male,,18 - 24,White: British / English / Northern Irish / Scottish / Welsh,Master's degree,,Not in employment,Not sure,None
2022-02-18 07:04:03,2022-02-18 07:06:13,IP Address,81.100.171.3,100,130,True,2022-02-18 07:06:14,R_bf2SU82D1PU1CFj,,,,,51.441192626953125,-0.1833038330078125,anonymous,EN,Yes,Bought outright,,360,Brand New,,Google (Pixel),,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,40,,,,,,,,,Male,,25 - 34,White: British / English / Northern Irish / Scottish / Welsh,Undergraduate degree,,In full-time education,"£10,000 to £19,999",None
2022-02-18 07:03:58,2022-02-18 07:06:44,IP Address,155.198.14.111,100,165,True,2022-02-18 07:06:44,R_2SiaKE1bWeGXScR,,,,,51.57080078125,-0.103302001953125,anonymous,EN,Yes,Bought outright,,901,Brand New,,"Other, please specify",Samsung Note 10+,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,,,,,,,130,,,Male,,18 - 24,Asian / Asian British: Chinese,Master's degree,,In full-time education,Not sure,2
2022-02-18 07:03:54,2022-02-18 07:07:52,IP Address,80.2.239.108,100,237,True,2022-02-18 07:07:52,R_RW5ZwTAcSvumi1r,,,,,51.497894287109375,-0.2389068603515625,anonymous,EN,Yes,Bought outright,,540,Brand New,,Apple (iPhone),,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,,,,100,,,,,,Female,,18 - 24,Asian / Asian British: Chinese,Master's degree,,In full-time education,Not sure,None
2022-02-18 07:05:27,2022-02-18 07:08:09,IP Address,84.67.30.252,100,161,True,2022-02-18 07:08:09,R_2eal7pWfVVe62ew,,,,,51.384796142578125,-0.4138946533203125,anonymous,EN,Yes,Bought outright,,648,Brand New,,Apple (iPhone),,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,,,101,,,,,,Male,,18 - 24,Asian / Asian British: Chinese,"Further education (16+, A-Levels, BTEC, etc.)",,Not in employment,"£10,000 to £19,999",None
2022-02-18 07:08:16,2022-02-18 07:08:39,IP Address,93.96.67.180,100,22,True,2022-02-18 07:08:39,R_1Fu37QCnEscT2ut,,,,,51.54150390625,-0.0601043701171875,anonymous,EN,Yes,Bought on contract - still paying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18 07:01:02,2022-02-18 07:08:46,IP Address,93.44.80.36,100,464,True,2022-02-18 07:08:46,R_1M6cLDVKJIOMsM9,,,,,44.488006591796875,11.3751983642578125,anonymous,EN,Yes,Bought outright,,501,Brand New,,Apple (iPhone),,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,,,,,,,176,,,Male,,18 - 24,White: Any other White background,Secondary school (up to 16 years),,In full-time education,Not sure,None
2022-02-18 07:05:45,2022-02-18 07:08:50,IP Address,165.225.17.165,100,185,True,2022-02-18 07:08:51,R_2sbxWn1CfKYcb3i,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN,Yes,Bought outright,,669,Secondhand - Manufacturer Refurbished (eg. Apple),,Apple (iPhone),,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,100,,,,,,,,,Female,,45 - 54,Asian / Asian British: Indian,Master's degree,,In full-time employment,"£30,000 to £39,999",2
2022-02-18 07:06:38,2022-02-18 07:10:18,IP Address,94.3.106.28,100,220,True,2022-02-18 07:10:18,R_3fdTtkDqE6hWfJx,,,,,51.3195037841796875,-1.4145965576171875,anonymous,EN,Yes,"Other, please specify",Gifted from family member,300,"Other, please specify","Second hand, gifted from family",Apple (iPhone),,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree,,,,,,,50,,,Female,,25 - 34,White: British / English / Northern Irish / Scottish / Welsh,Master's degree,,In full-time education,"£20,000 to £29,999",None
2022-02-18 07:09:42,2022-02-18 07:11:55,IP Address,155.198.19.3,100,132,True,2022-02-18 07:11:55,R_O0ulhQTsXdZ23ap,,,,,51.3488006591796875,-0.0321044921875,anonymous,EN,Yes,Bought outright,,300,Brand New,,Samsung (Galaxy),,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,,51,,,Male,,25 - 34,Mixed / Multiple ethnic groups: Any other Mixed / Multiple ethnic groups background,Doctoral degree,,Not in employment,"Less than £10,000",None
